# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
   168   4.1693400485e-06   1.7320097511e-02   4.1693384854e-06   1.7320073447e-02       3.764900       3.764900
   169   6.3621863296e-06   3.5698467699e-02   6.3621861895e-06   3.5698444485e-02       3.765700       3.765700
   170   4.8680149477e-06   2.3175731829e-02   4.8680110743e-06   2.3175684874e-02       3.779600       3.779600
   171   6.4858849085e-06   3.6735192569e-02   6.4858851670e-06   3.6735172071e-02       3.797600       3.797600
   172   6.4816230920e-06   3.6699474040e-02   6.4816211678e-06   3.6699435271e-02       3.797600       3.797600
   173   4.4993015106e-06   2.0085523410e-02   4.4993013858e-06   2.0085509734e-02       3.802000       3.802000
   174   6.1986585926e-06   3.4327932376e-02   6.1986529581e-06   3.4327863939e-02       3.823000       3.823000
   175   6.1971107372e-06   3.4314959711e-02   6.1970958298e-06   3.4314813565e-02       3.823000       3.823000
   176   7.8600439223e-06   4.8252097912e-02   7.8600477197e-06   4.8252100133e-02       3.937000       3.937000
   177   7.8575832255e-06   4.8231474672e-02   7.8575818531e-06   4.8231433576e-02       3.937000       3.937000
   178   6.2641075562e-06   3.4876463886e-02   6.2641053243e-06   3.4876423636e-02       3.940200       3.940200
   179   6.2300646683e-06   3.4591148494e-02   6.2300659325e-06   3.4591137717e-02       4.000700       4.000700
   180   8.0923187785e-06   5.0198806776e-02   8.0923224453e-06   5.0198806729e-02       4.317600       4.317600
   181   8.0921424826e-06   5.0197329230e-02   8.0921462020e-06   5.0197329625e-02       4.317700       4.317700
   182   8.2664180258e-06   5.1657942533e-02   8.2664201703e-06   5.1657928847e-02       4.368800       4.368800
   183   6.3056643426e-06   3.5224753691e-02   6.3056680401e-06   3.5224762926e-02       4.371700       4.371700
   184   7.8609106623e-06   4.8259362110e-02   7.8608065103e-06   4.8258459597e-02       4.394900       4.394900
   185   7.8530990088e-06   4.8193892195e-02   7.8531080578e-06   4.8193938464e-02       4.394900       4.394900
   186   8.5470719722e-06   5.4010119321e-02   8.5470764306e-06   5.4010123611e-02       4.396300       4.396300
   187   6.3525132674e-06   3.5617397211e-02   6.3520919813e-06   3.5613844400e-02       4.411400       4.411400
   188   6.3504583001e-06   3.5600174412e-02   6.3497782522e-06   3.5594452916e-02       4.411400       4.411400
   189   7.0367283356e-06   4.1351842859e-02   7.0367220712e-06   4.1351764909e-02       4.426700       4.426700
   190   7.0372373021e-06   4.1356108536e-02   7.0372053174e-06   4.1355815021e-02       4.426700       4.426700
   191   7.8028455977e-06   4.7772715481e-02   7.8028420759e-06   4.7772656647e-02       4.435400       4.435400
   192   7.7877355722e-06   4.7646077492e-02   7.7877253609e-06   4.7645962670e-02       4.456000       4.456000
   193   7.7848904072e-06   4.7622232001e-02   7.7848848297e-06   4.7622156030e-02       4.456000       4.456000
   194   8.6317586290e-06   5.4719883038e-02   8.6317705431e-06   5.4719949387e-02       4.487600       4.487600
   195   7.6018286924e-06   4.6087981292e-02   7.6018217887e-06   4.6087895130e-02       4.495700       4.495700
   196   7.5990566233e-06   4.6064748422e-02   7.5990037881e-06   4.6064277320e-02       4.495700       4.495700
   197   8.8706547219e-06   5.6722084865e-02   8.8706597572e-06   5.6722092356e-02       4.505500       4.505500
   198   8.0560962428e-06   4.9895223632e-02   8.0555084694e-06   4.9890266876e-02       4.537300       4.537300
   199   7.1189530182e-06   4.2040972630e-02   7.1188312453e-06   4.2039926182e-02       4.537300       4.537300
   200   7.2267017339e-06   4.2944020783e-02   7.2282581236e-06   4.2957038560e-02       4.537300       4.537300
   201   9.5927107939e-06   6.2773678131e-02   9.5927116334e-06   6.2773646810e-02       4.824600       4.824600
   202   9.5925707831e-06   6.2772504693e-02   9.5925702781e-06   6.2772462104e-02       4.824600       4.824600
   203   5.7955953800e-06   3.0949836522e-02   5.7957877902e-06   3.0951429944e-02       5.177700       5.177700
   204   5.7870777864e-06   3.0878450082e-02   5.7870331894e-06   3.0878057178e-02       5.177700       5.177700
   205   6.0572133534e-06   3.3142471731e-02   6.0572090474e-06   3.3142415142e-02       5.178000       5.178000
   206   6.0338262549e-06   3.2946463119e-02   6.0338250613e-06   3.2946432735e-02       5.203500       5.203500
   207   5.5102955508e-06   2.8558722324e-02   5.5103057005e-06   2.8558789653e-02       5.209900       5.209900
   208   5.5096316365e-06   2.8553158021e-02   5.5096293110e-06   2.8553120798e-02       5.209900       5.209900
   209   5.3756476399e-06   2.7430230477e-02   5.3756464467e-06   2.7430203420e-02       5.224700       5.224700
   210   6.1228938123e-06   3.3692943416e-02   6.1229386778e-06   3.3693298605e-02       5.229500       5.229500
   211   6.1252228860e-06   3.3712463516e-02   6.1252461081e-06   3.3712637299e-02       5.229500       5.229500
   212   6.6229904483e-06   3.7884281945e-02   6.6229895564e-06   3.7884251113e-02       5.237600       5.237600
   213   5.8951503736e-06   3.1784212621e-02   5.8951467603e-06   3.1784162658e-02       5.255600       5.255600
   214   5.8959100825e-06   3.1790579785e-02   5.8959086316e-06   3.1790547940e-02       5.255600       5.255600
   215   5.1502436474e-06   2.5541106715e-02   5.1502440087e-06   2.5541093825e-02       5.312000       5.312000
   216   5.1503751705e-06   2.5542209017e-02   5.1503741751e-06   2.5542184756e-02       5.312000       5.312000
   217   5.3005091498e-06   2.6800490491e-02   5.3005115631e-06   2.6800494039e-02       5.396900       5.396900
   218   5.2996831997e-06   2.6793568156e-02   5.2996881812e-06   2.6793593233e-02       5.396900       5.396900
   219   5.3907562956e-06   2.7556856985e-02   5.3907617142e-06   2.7556885265e-02       5.405800       5.405800
   220   5.4179998572e-06   2.7785186834e-02   5.4179998135e-06   2.7785169197e-02       5.420200       5.420200
   221   5.8185837473e-06   3.1142503344e-02   5.8185846015e-06   3.1142491209e-02       5.423500       5.423500
   222   5.3305841139e-06   2.7052550486e-02   5.3305860769e-06   2.7052550109e-02       5.459800       5.459800
   223   5.3305667459e-06   2.7052404924e-02   5.3305669740e-06   2.7052390007e-02       5.459800       5.459800
   224   6.0893473056e-06   3.3411788223e-02   6.0893459925e-06   3.3411756556e-02       5.477400       5.477400
   225   5.9948136559e-06   3.2619496294e-02   5.9948146883e-06   3.2619484763e-02       5.494500       5.494500
   226   5.9943630468e-06   3.2615719714e-02   5.9943633726e-06   3.2615702263e-02       5.494500       5.494500
   227   1.0319156250e-05   6.8862059076e-02   1.0319158351e-05   6.8862034657e-02       5.628100       5.628100
   228   6.5731172535e-06   3.7466291844e-02   6.5731173695e-06   3.7466269712e-02       5.685300       5.685300
   229   6.5734225730e-06   3.7468850745e-02   6.5734234530e-06   3.7468835013e-02       5.685300       5.685300
   230   5.4751312607e-06   2.8264008396e-02   5.4751309308e-06   2.8263988072e-02       5.785400       5.785400
   231   5.4748320242e-06   2.8261500478e-02   5.4748310472e-06   2.8261474733e-02       5.785400       5.785400
   232   5.7107076069e-06   3.0238387237e-02   5.7107073387e-06   3.0238366240e-02       5.804000       5.804000
   233   8.1205468369e-06   5.0435387750e-02   8.1205492610e-06   5.0435377145e-02       5.807700       5.807700
   234   5.5693932804e-06   2.9054023778e-02   5.5694004077e-06   2.9054065478e-02       5.816900       5.816900
   235   5.5696443812e-06   2.9056128268e-02   5.5696613253e-06   2.9056252242e-02       5.816900       5.816900
   236   6.4992099584e-06   3.6846870574e-02   6.4992107227e-06   3.6846854248e-02       5.861300       5.861300
   237   5.8448411523e-06   3.1362568158e-02   5.8448402454e-06   3.1362541131e-02       5.871900       5.871900
   238   5.8022631750e-06   3.1005719693e-02   5.8022625378e-06   3.1005695142e-02       5.874800       5.874800
   239   5.8013843719e-06   3.0998354394e-02   5.8013658167e-06   3.0998179675e-02       5.874800       5.874800
   240   7.6427920553e-06   4.6431297580e-02   7.6427904736e-06   4.6431255816e-02       5.879400       5.879400
   241   5.6857029684e-06   3.0028821931e-02   5.6856977868e-06   3.0028759881e-02       5.883700       5.883700
   242   5.6866827758e-06   3.0037033753e-02   5.6866640605e-06   3.0036858271e-02       5.883700       5.883700
   243   6.1033328182e-06   3.3529001605e-02   6.1033313520e-06   3.3528968585e-02       5.890500       5.890500
   244   5.5697994138e-06   2.9057427606e-02   5.5698003618e-06   2.9057417514e-02       5.925400       5.925400
